Running simulation: 3 nodes, scenario 2.
11.7705 370 0 11.7705 0.03925 0.2 11.53125
11.80175 371 0 11.80175 0.03925 0.2 11.5625
11.833 372 0 11.833 0.03925 0.2 11.59375
11.86425 373 0 11.86425 0.03925 0.2 11.625
11.8955 374 0 11.8955 0.03925 0.2 11.65625
11.92675 375 0 11.92675 0.03925 0.2 11.6875
11.958 376 0 11.958 0.03925 0.2 11.71875
11.98925 377 0 11.98925 0.03925 0.2 11.75
12.0205 378 0 12.0205 0.03925 0.2 11.78125
12.05175 379 0 12.05175 0.03925 0.2 11.8125
12.083 380 0 12.083 0.03925 0.2 11.84375
12.11425 381 0 12.11425 0.03925 0.2 11.875
12.1455 382 0 12.1455 0.03925 0.2 11.90625
12.17675 383 0 12.17675 0.03925 0.2 11.9375
12.208 384 0 12.208 0.03925 0.2 11.96875
12.23925 385 0 12.23925 0.03925 0.2 12.0
12.2705 386 0 12.2705 0.03925 0.2 12.03125
12.30175 387 0 12.30175 0.03925 0.2 12.0625
12.333 388 0 12.333 0.03925 0.2 12.09375
12.36425 389 0 12.36425 0.03925 0.2 12.125
12.3955 390 0 12.3955 0.03925 0.2 12.15625
12.42675 391 0 12.42675 0.03925 0.2 12.1875
12.458 392 0 12.458 0.03925 0.2 12.21875
12.48925 393 0 12.48925 0.03925 0.2 12.25
12.5205 394 0 12.5205 0.03925 0.2 12.28125
12.55175 395 0 12.55175 0.03925 0.2 12.3125
12.583 396 0 12.583 0.03925 0.2 12.34375
12.61425 397 0 12.61425 0.03925 0.2 12.375
12.6455 398 0 12.6455 0.03925 0.2 12.40625
12.67675 399 0 12.67675 0.03925 0.2 12.4375
12.708 400 0 12.708 0.03925 0.2 12.46875
12.73925 401 0 12.73925 0.03925 0.2 12.5
12.7705 402 0 12.7705 0.03925 0.2 12.53125
12.80175 403 0 12.80175 0.03925 0.2 12.5625
12.833 404 0 12.833 0.03925 0.2 12.59375
12.86425 405 0 12.86425 0.03925 0.2 12.625
12.8955 406 0 12.8955 0.03925 0.2 12.65625
12.92675 407 0 12.92675 0.03925 0.2 12.6875
12.958 408 0 12.958 0.03925 0.2 12.71875
12.98925 409 0 12.98925 0.03925 0.2 12.75
13.0205 410 0 13.0205 0.03925 0.2 12.78125
13.05175 411 0 13.05175 0.03925 0.2 12.8125
13.083 412 0 13.083 0.03925 0.2 12.84375
13.11425 413 0 13.11425 0.03925 0.2 12.875
13.1455 414 0 13.1455 0.03925 0.2 12.90625
13.17675 415 0 13.17675 0.03925 0.2 12.9375
13.208 416 0 13.208 0.03925 0.2 12.96875
13.23925 417 0 13.23925 0.03925 0.2 13.0
13.2705 418 0 13.2705 0.03925 0.2 13.03125
13.30175 419 0 13.30175 0.03925 0.2 13.0625
13.333 420 0 13.333 0.03925 0.2 13.09375
13.36425 421 0 13.36425 0.03925 0.2 13.125
13.3955 422 0 13.3955 0.03925 0.2 13.15625
13.42675 423 0 13.42675 0.03925 0.2 13.1875
13.458 424 0 13.458 0.03925 0.2 13.21875
13.48925 425 0 13.48925 0.03925 0.2 13.25
13.5205 426 0 13.5205 0.03925 0.2 13.28125
13.55175 427 0 13.55175 0.03925 0.2 13.3125
13.583 428 0 13.583 0.03925 0.2 13.34375
13.61425 429 0 13.61425 0.03925 0.2 13.375
13.6455 430 0 13.6455 0.03925 0.2 13.40625
13.67675 431 0 13.67675 0.03925 0.2 13.4375
13.708 432 0 13.708 0.03925 0.2 13.46875
13.73925 433 0 13.73925 0.03925 0.2 13.5
13.7705 434 0 13.7705 0.03925 0.2 13.53125
13.80175 435 0 13.80175 0.03925 0.2 13.5625
13.833 436 0 13.833 0.03925 0.2 13.59375
13.86425 437 0 13.86425 0.03925 0.2 13.625
13.8955 438 0 13.8955 0.03925 0.2 13.65625
13.92675 439 0 13.92675 0.03925 0.2 13.6875
13.958 440 0 13.958 0.03925 0.2 13.71875
13.98925 441 0 13.98925 0.03925 0.2 13.75
14.0205 442 0 14.0205 0.03925 0.2 13.78125
14.05175 443 0 14.05175 0.03925 0.2 13.8125
14.083 444 0 14.083 0.03925 0.2 13.84375
14.11425 445 0 14.11425 0.03925 0.2 13.875
14.1455 446 0 14.1455 0.03925 0.2 13.90625
14.17675 447 0 14.17675 0.03925 0.2 13.9375
14.208 448 0 14.208 0.03925 0.2 13.96875
14.23925 449 0 14.23925 0.03925 0.2 14.0
14.2705 450 0 14.2705 0.03925 0.2 14.03125
14.30175 451 0 14.30175 0.03925 0.2 14.0625
14.333 452 0 14.333 0.03925 0.2 14.09375
14.36425 453 0 14.36425 0.03925 0.2 14.125
14.3955 454 0 14.3955 0.03925 0.2 14.15625
14.42675 455 0 14.42675 0.03925 0.2 14.1875
14.458 456 0 14.458 0.03925 0.2 14.21875
14.48925 457 0 14.48925 0.03925 0.2 14.25
14.5205 458 0 14.5205 0.03925 0.2 14.28125
14.55175 459 0 14.55175 0.03925 0.2 14.3125
14.583 460 0 14.583 0.03925 0.2 14.34375
14.61425 461 0 14.61425 0.03925 0.2 14.375
14.6455 462 0 14.6455 0.03925 0.2 14.40625
14.67675 463 0 14.67675 0.03925 0.2 14.4375
14.708 464 0 14.708 0.03925 0.2 14.46875
14.73925 465 0 14.73925 0.03925 0.2 14.5
14.7705 466 0 14.7705 0.03925 0.2 14.53125
14.80175 467 0 14.80175 0.03925 0.2 14.5625
14.833 468 0 14.833 0.03925 0.2 14.59375
14.86425 469 0 14.86425 0.03925 0.2 14.625
14.8955 470 0 14.8955 0.03925 0.2 14.65625
14.92675 471 0 14.92675 0.03925 0.2 14.6875
14.958 472 0 14.958 0.03925 0.2 14.71875
14.98925 473 0 14.98925 0.03925 0.2 14.75
15.0205 474 0 15.0205 0.03925 0.2 14.78125
15.05175 475 0 15.05175 0.03925 0.2 14.8125
15.083 476 0 15.083 0.03925 0.2 14.84375
15.11425 477 0 15.11425 0.03925 0.2 14.875
15.1455 478 0 15.1455 0.03925 0.2 14.90625
15.17675 479 0 15.17675 0.03925 0.2 14.9375
15.208 480 0 15.208 0.03925 0.2 14.96875
15.23925 481 0 15.23925 0.03925 0.2 15.0
15.2705 482 0 15.2705 0.03925 0.2 15.03125
15.30175 483 0 15.30175 0.03925 0.2 15.0625
15.333 484 0 15.333 0.03925 0.2 15.09375
15.36425 485 0 15.36425 0.03925 0.2 15.125
15.3955 486 0 15.3955 0.03925 0.2 15.15625
15.42675 487 0 15.42675 0.03925 0.2 15.1875
15.458 488 0 15.458 0.03925 0.2 15.21875
15.48925 489 0 15.48925 0.03925 0.2 15.25
15.5205 490 0 15.5205 0.03925 0.2 15.28125
15.55175 491 0 15.55175 0.03925 0.2 15.3125
15.583 492 0 15.583 0.03925 0.2 15.34375
15.61425 493 0 15.61425 0.03925 0.2 15.375
15.6455 494 0 15.6455 0.03925 0.2 15.40625
15.67675 495 0 15.67675 0.03925 0.2 15.4375
15.708 496 0 15.708 0.03925 0.2 15.46875
15.73925 497 0 15.73925 0.03925 0.2 15.5
15.7705 498 0 15.7705 0.03925 0.2 15.53125
15.80175 499 0 15.80175 0.03925 0.2 15.5625
15.833 500 0 15.833 0.03925 0.2 15.59375
15.86425 501 0 15.86425 0.03925 0.2 15.625
15.8955 502 0 15.8955 0.03925 0.2 15.65625
15.92675 503 0 15.92675 0.03925 0.2 15.6875
15.958 504 0 15.958 0.03925 0.2 15.71875
15.98925 505 0 15.98925 0.03925 0.2 15.75
16.0205 506 0 16.0205 0.03925 0.2 15.78125
16.05175 507 0 16.05175 0.03925 0.2 15.8125
16.083 508 0 16.083 0.03925 0.2 15.84375
