Running simulation: 3 nodes, scenario 1b.
0.2036 449 0 0.2036 1.6e-05 0.2 0.003584
0.203608 450 0 0.203608 1.6e-05 0.2 0.003592
0.203616 451 0 0.203616 1.6e-05 0.2 0.0036
0.203624 452 0 0.203624 1.6e-05 0.2 0.003608
0.203632 453 0 0.203632 1.6e-05 0.2 0.003616
0.20364 454 0 0.20364 1.6e-05 0.2 0.003624
0.203648 455 0 0.203648 1.6e-05 0.2 0.003632
0.203656 456 0 0.203656 1.6e-05 0.2 0.00364
0.203664 457 0 0.203664 1.6e-05 0.2 0.003648
0.203672 458 0 0.203672 1.6e-05 0.2 0.003656
0.20368 459 0 0.20368 1.6e-05 0.2 0.003664
0.203688 460 0 0.203688 1.6e-05 0.2 0.003672
0.203696 461 0 0.203696 1.6e-05 0.2 0.00368
0.203704 462 0 0.203704 1.6e-05 0.2 0.003688
0.203712 463 0 0.203712 1.6e-05 0.2 0.003696
